HOSPITAL_ID,Total_Patients,Readmissions,Readmit_Rate_Pct,Avg_Risk_Score,Critical_Patients,High_Patients,Avg_LOS_Days,Avg_Charge_USD,Unique_Physicians,State_Code,Emergency_Admits,Critical_Pct,Est_Preventable_Savings,Hospital_Volume_Tier
HOSP-23132,1097,1086,99.0,0.9856,1091,1,0.0,1170,2,5,1095,99.5,8182500,Major (100+)
HOSP-66200,1077,1066,99.0,0.9822,1063,5,0.0,1552,1,3,1076,98.7,7972500,Major (100+)
HOSP-50993,1009,1005,99.6,0.9893,1007,0,0.0,1295,1,37,1009,99.8,7552500,Major (100+)
HOSP-46273,756,747,98.8,0.9819,751,4,0.0,1621,1,33,756,99.3,5632500,Major (100+)
HOSP-20823,655,646,98.6,0.981,652,3,0.0,958,1,15,655,99.5,4890000,Major (100+)
HOSP-88618,650,642,98.8,0.9847,648,2,0.0,1070,1,50,650,99.7,4860000,Major (100+)
HOSP-09743,609,235,38.6,0.3152,125,54,2.4,39748,1,5,180,20.5,937500,Major (100+)
HOSP-30083,523,513,98.1,0.9733,517,5,0.0,1107,1,42,523,98.9,3877500,Major (100+)
HOSP-20125,515,178,34.6,0.2832,91,31,2.4,42541,1,10,130,17.7,682500,Major (100+)
HOSP-88988,447,429,96.0,0.969,444,3,0.0,1169,1,6,447,99.3,3330000,Major (100+)
HOSP-00189,430,15,3.5,0.0479,0,3,7.7,92289,1,19,0,0.0,0,Major (100+)
HOSP-90084,382,126,33.0,0.2592,54,32,2.1,43362,1,45,92,14.1,405000,Major (100+)
HOSP-53768,361,349,96.7,0.942,350,9,0.0,1528,1,10,361,97.0,2625000,Major (100+)
HOSP-13473,348,129,37.1,0.2852,65,24,3.0,51312,1,33,108,18.7,487500,Major (100+)
HOSP-56806,333,327,98.2,0.9574,325,5,0.0,1211,1,34,333,97.6,2437500,Major (100+)
HOSP-51343,302,11,3.6,0.0338,0,2,10.0,141177,1,33,0,0.0,0,Major (100+)
HOSP-61681,282,11,3.9,0.0406,0,0,7.1,87331,1,11,0,0.0,0,Major (100+)
HOSP-64009,259,254,98.1,0.9466,258,1,0.0,1399,1,10,259,99.6,1935000,Major (100+)
HOSP-41454,248,232,93.5,0.9374,240,4,0.0,1629,1,10,248,96.8,1800000,Major (100+)
HOSP-62407,240,93,38.8,0.2966,38,25,1.9,28659,1,36,67,15.8,285000,Major (100+)
HOSP-64949,237,67,28.3,0.2454,35,19,4.8,37550,1,34,51,14.8,262500,Major (100+)
HOSP-60544,234,227,97.0,0.9533,230,4,0.0,1764,1,33,234,98.3,1725000,Major (100+)
HOSP-44140,233,77,33.0,0.2814,44,14,2.8,51293,1,3,59,18.9,330000,Major (100+)
HOSP-66635,232,68,29.3,0.2353,31,15,2.7,35926,1,39,55,13.4,232500,Major (100+)
HOSP-69794,230,215,93.5,0.9297,225,3,0.0,1501,1,5,230,97.8,1687500,Major (100+)
HOSP-34464,229,200,87.3,0.894,213,10,0.0,1295,1,10,229,93.0,1597500,Major (100+)
HOSP-03799,226,7,3.1,0.0376,0,0,7.6,92570,1,42,0,0.0,0,Major (100+)
HOSP-77085,220,213,96.8,0.9335,215,2,0.0,1491,1,21,220,97.7,1612500,Major (100+)
HOSP-72057,218,63,28.9,0.2549,31,11,2.4,39406,1,23,47,14.2,232500,Major (100+)
HOSP-29151,205,72,35.1,0.2978,41,16,2.6,32146,1,44,60,20.0,307500,Major (100+)
HOSP-07240,203,4,2.0,0.0351,0,1,7.2,98626,1,45,0,0.0,0,Major (100+)
HOSP-05883,195,25,12.8,0.1133,19,1,7.1,94526,1,10,21,9.7,142500,Major (100+)
HOSP-17504,187,179,95.7,0.9336,185,2,0.0,909,1,22,187,98.9,1387500,Major (100+)
HOSP-51883,180,156,86.7,0.8638,157,16,0.0,1857,1,10,180,87.2,1177500,Major (100+)
HOSP-65552,177,165,93.2,0.9231,169,5,0.0,1554,1,10,177,95.5,1267500,Major (100+)
HOSP-73015,176,7,4.0,0.0422,1,1,7.2,113263,1,10,2,0.6,7500,Major (100+)
HOSP-88771,175,53,30.3,0.2611,32,6,3.1,46491,1,11,43,18.3,240000,Major (100+)
HOSP-24413,175,160,91.4,0.9296,166,7,0.0,1553,1,5,175,94.9,1245000,Major (100+)
HOSP-61355,174,3,1.7,0.027,0,0,8.7,109087,1,21,0,0.0,0,Major (100+)
HOSP-50895,172,161,93.6,0.9435,167,4,0.0,1137,1,50,172,97.1,1252500,Major (100+)
HOSP-70488,170,68,40.0,0.3148,32,17,1.9,31988,1,14,48,18.8,240000,Major (100+)
HOSP-49885,164,154,93.9,0.9273,160,4,0.0,1354,1,6,164,97.6,1200000,Major (100+)
HOSP-49339,162,157,96.9,0.9317,156,3,0.0,1423,1,39,162,96.3,1170000,Major (100+)
HOSP-87459,153,143,93.5,0.891,139,10,0.0,1182,1,23,153,90.8,1042500,Major (100+)
HOSP-87032,153,139,90.8,0.8799,142,7,0.0,909,1,24,153,92.8,1065000,Major (100+)
HOSP-92255,149,49,32.9,0.2697,25,12,3.7,37336,2,29,38,16.8,187500,Major (100+)
HOSP-89848,149,124,83.2,0.8398,132,1,0.1,2143,1,5,149,88.6,990000,Major (100+)
HOSP-13068,148,45,30.4,0.2431,20,12,4.2,71059,1,31,33,13.5,150000,Major (100+)
HOSP-96686,147,133,90.5,0.8976,138,8,0.0,1259,1,42,147,93.9,1035000,Major (100+)
